user_id,name,email,course_id,course_title,steps_completed,steps_total,course_completed,course_completed_on,course_started_on,course_total_time_on,course_last_step_id,course_last_step_type,course_last_step_title,last_login_date
2101,student-fullname1,test@myemail.com,14494,Python căn bản,7,102,NO,,2021-07-31,2d 12h 12m 43s,431,Topic,[Bài giảng] Thuật toán,2021-08-12
2102,student-fullname2,test@myemail.com,14494,Python căn bản,0,102,NO,,,,,,,2021-08-17
2105,student-fullname3,test@myemail.com,14494,Python căn bản,0,102,NO,,,,,,,
2126,student-fullname4,test@myemail.com,14494,Python căn bản,19,102,NO,,2021-08-12,6d 4h 31m 19s,14564,Topic,[Bài đọc] PIP trong Python,2021-08-18
1305,student-fullname5,test@myemail.com,14494,Python căn bản,11,102,NO,,2021-07-31,9d 2h 17m 46s,544,Topic,[Thực hành] Thuật toán game đoán số,2021-08-18
2115,student-fullname6,test@myemail.com,14494,Python căn bản,55,102,NO,,2021-08-17,2d 2h 37m 17s,16544,Topic,[Bài đọc] Giá trị trả về và gọi hàm,2021-08-18
2111,student-fullname7,test@myemail.com,14494,Python căn bản,35,102,NO,,2021-08-16,3d 7h 30m 33s,14589,Topic,[Thực hành] Vẽ hình chữ nhật,2021-08-19
2107,student-fullname8,test@myemail.com,14494,Python căn bản,50,102,NO,,2021-08-20,45m 33s,16538,Topic,[Bài đọc] Hàm và sử dụng hàm,2021-08-21
2112,student-fullname9,test@myemail.com,14494,Python căn bản,40,102,NO,,2021-08-14,6d 21h 41m 25s,16122,Topic,[Thực hành] Rùa bị quản trong nhà,2021-08-21
2110,student-fullname10,test@myemail.com,14494,Python căn bản,89,102,NO,,2021-08-17,3d 29m 58s,18168,Topic,[Thực hành] How to check which Button was clicked in Tkinter,2021-08-08
1941,student-fullname11,test@myemail.com,14494,Python căn bản,49,102,NO,,2021-08-20,4h 33m 17s,16451,Topic,[Bài đọc] Vòng lặp lồng nhau,2021-08-16
2123,student-fullname12,test@myemail.com,14494,Python căn bản,56,102,NO,,2021-08-17,3d 1h 35m 40s,16544,Topic,[Bài đọc] Giá trị trả về và gọi hàm,2021-08-14
2103,student-fullname13,test@myemail.com,14494,Python căn bản,48,102,NO,,2021-08-16,4d 2h 26m 9s,16462,Topic,[Thực hành] Vẽ hình chữ nhật bằng ký tự,2021-08-22
2119,student-fullname14,test@myemail.com,14494,Python căn bản,48,102,NO,,2021-08-20,11m 40s,16456,Topic,[Thực hành] Sử dụng vòng lặp lồng nhau để vẽ hình,2021-08-22
2113,student-fullname15,test@myemail.com,14494,Python căn bản,50,102,NO,,2021-08-21,,17122,Quiz,[Bài tập] The 21 Game,2021-08-12
2129,student-fullname16,test@myemail.com,14494,Python căn bản,44,102,NO,,2021-08-20,20h 43m,16122,Topic,[Thực hành] Rùa bị quản trong nhà,2021-08-10
2114,student-fullname17,test@myemail.com,14494,Python căn bản,50,102,NO,,2021-08-21,,16124,Quiz,[Bài tập] Vẽ đường xoắn ốc,2021-08-10
2128,student-fullname18,test@myemail.com,14494,Python căn bản,36,102,NO,,2021-08-09,4d 19h 11m 59s,15559,Topic,[Bài đọc] Toán tử ba ngôi,2021-08-20
